                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5813,                 1.7589,                0.91644,                0.64469,                0.36465,                0.37023,                0.17892,                 1.5479,                 1.2206,                0.88492,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.3965,                0.95393,                0.86165,                0.78574,                0.54004,                0.64409,                0.37458,                 1.1948,                 1.0054,                0.85035,             0.00081451,             0.00081451,             0.00081451
                      3,                  1.345,                0.79706,                0.85214,                0.66187,                0.57567,                0.63181,                0.35373,                  1.324,                0.81657,                0.85161,              0.0012148,              0.0012148,              0.0012148
                      4,                  1.356,                0.78369,                0.84943,                0.82259,                 0.6472,                 0.7126,                0.43432,                 1.0949,                0.68542,                0.83814,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.2681,                0.70754,                0.84348,                0.74373,                0.60311,                0.66079,                0.37795,                 1.2075,                  0.725,                0.84868,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.2308,                0.69629,                0.84012,                0.92495,                0.61816,                0.72185,                0.45279,                 1.0732,                0.62278,                0.84012,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2598,                0.68997,                0.83867,                0.81159,                0.63044,                0.68904,                0.42105,                 1.0767,                0.65088,                   0.84,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2037,                0.64988,                0.83237,                0.79355,                0.66655,                 0.7323,                0.42195,                 1.1137,                0.64397,                0.83764,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1802,                0.62082,                0.83371,                0.79811,                0.71258,                0.74883,                0.44042,                 1.1131,                   0.61,                0.83387,               0.001151,               0.001151,               0.001151
                     10,                 1.2402,                0.63393,                0.83456,                0.85137,                0.66944,                0.73555,                0.46271,                 1.0635,                0.62615,                0.83876,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2427,                0.63591,                0.83072,                0.86104,                0.71772,                0.76315,                0.49004,                 1.0643,                 0.5929,                0.83732,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1636,                0.60041,                0.83032,                 0.8519,                 0.7105,                 0.7474,                0.44975,                 1.0486,                 0.6118,                0.83363,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1423,                0.59485,                0.82586,                0.85841,                0.67546,                0.74127,                0.45414,                 1.0867,                0.62752,                0.83594,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1258,                0.60082,                0.82747,                0.88532,                0.63991,                0.72745,                0.45103,                 1.0608,                0.58558,                0.83956,              0.0010891,              0.0010891,              0.0010891
